OI64EFO,2019-04-30,2019-05-22,taxi,la-3,"a"",b",true
OI64EFO,2019-04-27,2019-06-23,PHV,la-3,a & b'c & d,true
DS98UDG,2019-03-12,2019-06-25,taxi,la-2,hragF,true
DS98UDG,2019-03-11,2019-07-24,PHV,la-1,iragG,true
ND84VSX,2019-04-14,2019-06-13,taxi,la-1,Oretr,false
ZC62OMB,2019-04-15,2019-05-17,PHV,la-2,beBCC,true
DL76MWX,2019-04-11,2019-05-20,PHV,la-1,wHOlp,false
BW91HUN,2019-03-09,2019-05-06,taxi,la-1,yGSJC,true
SV57THC,2019-05-22,2019-06-16,taxi,la-2,VDNIv,true
LE35LMK,2019-06-17,2019-07-11,taxi,la-1,FhMxv,true
NO03KNT,2019-03-23,2019-05-29,PHV,la-3,EGsZU,false
LV98HYW,2019-03-02,2019-03-17,PHV,la-1,kAejQ,false
SW40NRN,2019-05-06,2019-08-16,taxi,la-2,rKXry,true
PC00SNK,2019-05-17,2019-08-25,PHV,la-3,DhkZj,false